"Admin1","Admin2","ITNtype2020","Départements","Zones sanitaires","Communes","Moustiquaire Standard","Moustiquaire PBO","Moustiquaire IG2","Distribution scolaire de moustiquaire","Chimio Prévention Saisonnière (CPS)","Traitement Préventif Intermittent chez la femme enceinte (TPIg)","Lutte anti-larvaire","Pulvérisation Intra-Domiciliaire (PID)","????","Vaccin","Sensibilisation communautaire","ITNtype2023"
"Alibori","banikoara","standard","Alibori","Banikoara","Banikoara",NA,1,NA,NA,1,1,NA,NA,NA,1,1,"PBO"
"Alibori","gogounou","standard","Alibori","Kandi-Gogounou-Ségbana","Gogounou",NA,1,NA,1,1,1,NA,NA,NA,1,1,"PBO"
"Alibori","kandi","standard","Alibori","Kandi-Gogounou-Ségbana","Kandi",NA,1,NA,1,1,1,NA,NA,NA,1,1,"PBO"
"Alibori","karimama","standard","Alibori","Malanville-Karimama","Karimama",1,NA,NA,NA,1,1,NA,NA,NA,1,1,"standard"
"Alibori","malanville","standard","Alibori","Malanville-Karimama","Malanville",NA,1,NA,NA,1,1,NA,NA,NA,1,1,"PBO"
"Alibori","segbana","standard","Alibori","Kandi-Gogounou-Ségbana","Ségbana",1,NA,NA,1,1,1,NA,NA,NA,1,1,"standard"
"Atacora","boukoumbe","standard","Atacora","Natitingou-Boukoumbé-Toucountouna","Boukoumbé",NA,1,NA,NA,1,1,NA,NA,NA,1,1,"PBO"
"Atacora","cobly","standard","Atacora","Tanguiéta-Cobly-Matéri","Cobly",NA,1,NA,NA,1,1,NA,NA,NA,1,1,"PBO"
"Atacora","kerou","standard","Atacora","Kouandé-Oussa-Péhunco-Kérou","Kérou",1,NA,NA,NA,1,1,NA,NA,NA,1,1,"standard"
"Atacora","kouande","standard","Atacora","Kouandé-Oussa-Péhunco-Kérou","Kouandé",1,NA,NA,NA,1,1,NA,NA,NA,1,1,"standard"
"Atacora","materi","standard","Atacora","Tanguiéta-Cobly-Matéri","Matéri",NA,1,NA,NA,1,1,NA,NA,NA,1,1,"PBO"
"Atacora","natitingou","standard","Atacora","Natitingou-Boukoumbé-Toucountouna","Natitingou",NA,1,NA,NA,1,1,NA,NA,NA,1,1,"PBO"
"Atacora","oussa-pehunco","standard","Atacora","Kouandé-Oussa-Péhunco-Kérou","Oussa-Péhunco",NA,1,NA,NA,1,1,NA,NA,NA,1,1,"PBO"
"Atacora","tanguieta","standard","Atacora","Tanguiéta-Cobly-Matéri","Tanguiéta",NA,1,NA,NA,1,1,NA,NA,NA,1,1,"PBO"
"Atacora","toucountouna","standard","Atacora","Natitingou-Boukoumbé-Toucountouna","Toucountouna",1,NA,NA,NA,1,1,NA,NA,NA,1,1,"standard"
"Atlantique","abomey-calavi","standard","Atlantique","Abomey-Calavi-Sô-Ava","Abomey-Calavi",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Atlantique","allada","PBO","Atlantique","Allada-Toffo-Zê","Allada",NA,1,NA,NA,NA,1,NA,NA,NA,1,1,"PBO"
"Atlantique","kpomasse","standard","Atlantique","Ouidah-Kpomassè-Tori-Bossito","Kpomassè",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Atlantique","ouidah","standard","Atlantique","Ouidah-Kpomassè-Tori-Bossito","Ouidah",NA,1,NA,NA,NA,1,NA,NA,NA,1,1,"PBO"
"Atlantique","so-ava","standard","Atlantique","Abomey-Calavi-Sô-Ava","Sô-Ava",NA,1,NA,NA,NA,1,NA,NA,NA,1,1,"PBO"
"Atlantique","toffo","PBO","Atlantique","Allada-Toffo-Zê","Toffo",NA,1,NA,NA,NA,1,NA,NA,NA,1,1,"PBO"
"Atlantique","tori-bossito","standard","Atlantique","Ouidah-Kpomassè-Tori-Bossito","Tori-Bossito",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Atlantique","ze","PBO","Atlantique","Allada-Toffo-Zê","Zè",NA,1,NA,NA,NA,1,NA,NA,NA,1,1,"PBO"
"Borgou","bembereke","standard","Borgou","Bembèrèkè-Sinendé","Bembèrèkè",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Borgou","kalale","standard","Borgou","Nikki-Kalalé-Pèrèrè","Kalalé",NA,1,NA,NA,NA,1,NA,NA,NA,1,1,"PBO"
"Borgou","n'dali","standard","Borgou","Parakou-N'Dali","N'Dali",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Borgou","nikki","standard","Borgou","Nikki-Kalalé-Pèrèrè","Nikki",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Borgou","parakou","standard","Borgou","Parakou-N'Dali","Parakou",NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA
"Borgou","perere","standard","Borgou","Nikki-Kalalé-Pèrèrè","Pèrèrè",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Borgou","sinende","standard","Borgou","Bembèrèkè-Sinendé","Sinendé",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Borgou","tchaourou","standard","Borgou","Tchaourou","Tchaourou",NA,1,NA,NA,NA,1,NA,NA,NA,1,1,"PBO"
"Collines","bante","standard","Collines","Savalou-Bantè","Bantè",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Collines","dassa","PBO","Collines","Dassa-Zoumè-Glazoué","Dassa",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Collines","glazoue","PBO","Collines","Dassa-Zoumè-Glazoué","Glazoué",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Collines","ouesse","PBO","Collines","Savè-Ouèssè","Ouèssè",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Collines","savalou","standard","Collines","Savalou-Bantè","Savalou",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Collines","save","PBO","Collines","Savè-Ouèssè","Savè",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Couffo","aplahoue","standard","Couffo","Aplahoué-Djakotomé-Dogbo","Aplahoué",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Couffo","djakotome","standard","Couffo","Aplahoué-Djakotomé-Dogbo","Djakotomè",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Couffo","dogbo","standard","Couffo","Aplahoué-Djakotomé-Dogbo","Dogbo",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Couffo","klouekanme","standard","Couffo","Klouékanmè-Toviklin-Lalo","Klouékanmè",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Couffo","lalo","standard","Couffo","Klouékanmè-Toviklin-Lalo","Lalo",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Couffo","toviklin","standard","Couffo","Klouékanmè-Toviklin-Lalo","Toviklin",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Donga","bassila","PBO","Donga","Bassila","Bassila",NA,NA,1,NA,1,1,NA,NA,NA,1,1,"IG2"
"Donga","copargo","standard","Donga","Djougou-Copargo-Ouaké","Copargo",NA,NA,1,1,1,1,NA,NA,NA,1,1,"IG2"
"Donga","djougou","standard","Donga","Djougou-Copargo-Ouaké","Djougou",NA,NA,1,1,1,1,NA,NA,NA,1,1,"IG2"
"Donga","ouake","standard","Donga","Djougou-Copargo-Ouaké","Ouaké",NA,NA,1,1,1,1,NA,NA,NA,1,1,"IG2"
"Littoral","cotonou","standard","Littoral","Cotonou 5","Cotonou 6",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Mono","athieme","PBO","Mono","Lokossa-Athiémé","Athiémé",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Mono","bopa","standard","Mono","Comè-Bopa-Houéyogbé-Grand-popo","Bopa",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Mono","come","standard","Mono","Comè-Bopa-Houéyogbé-Grand-popo","Comè",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
